wavenumber,sample
800,0.000021100
801,0.000024500
802,0.000029400
803,0.000033700
804,0.000034400
805,0.000031100
806,0.000025300
807,0.000018800
808,0.000014900
809,0.000014500
810,0.000017300
811,0.000021700
812,0.000025000
813,0.000026900
814,0.000027800
815,0.000028500
816,0.000028600
817,0.000027700
818,0.000025900
819,0.000022700
820,0.000018500
821,0.000015200
822,0.000014000
823,0.000014300
824,0.000013500
825,0.000011500
826,0.000008430
827,0.000003970
828,-0.000001110
829,-0.000005130
830,-0.000007310
831,-0.000007660
832,-0.000006110
833,-0.000000978
834,0.000006970
835,0.000015800
836,0.000023200
837,0.000027500
838,0.000027800
839,0.000025500
840,0.000023700
841,0.000024900
842,0.000029900
843,0.000037300
844,0.000044500
845,0.000049100
846,0.0000497000
847,0.000046400
848,0.000041200
849,0.000035900
850,0.000032600
851,0.000031700
852,0.000033200
853,0.000036000
854,0.000038400
855,0.000038600
856,0.000037100
857,0.000035300
858,0.000034900
859,0.000036900
860,0.000041100
861,0.000046100
862,0.000049900
863,0.000050700
864,0.000049300
865,0.000047300
866,0.000045400
867,0.000044100
868,0.000042500
869,0.000039600
870,0.000034900
871,0.000028800
872,0.000022900
873,0.000018700
874,0.000017100
875,0.000018600
876,0.000022500
877,0.000027700
878,0.000032600
879,0.000036100
880,0.000037200
881,0.000036900
882,0.000036100
883,0.000036000
884,0.000037000
885,0.000038700
886,0.000039600
887,0.000038300
888,0.000034100
889,0.000028800
890,0.000023900
891,0.000021000
892,0.000021000
893,0.000023600
894,0.000027200
895,0.000030500
896,0.000032100
897,0.000032800
898,0.000032800
899,0.000033500
900,0.000035200
901,0.000037900
902,0.000040700
903,0.000043200
904,0.000045000
905,0.000046400
906,0.000047700
907,0.000049600
908,0.000052400
909,0.000055500
910,0.000058800
911,0.000062300
912,0.000065300
913,0.000066900
914,0.000066100
915,0.000062600
916,0.000057100
917,0.000051000
918,0.000046400
919,0.000045900
920,0.000049500
921,0.000055400
922,0.000061000
923,0.000064100
924,0.000064000
925,0.000061100
926,0.000056700
927,0.000053400
928,0.000051600
929,0.000050700
930,0.000049900
931,0.000048700
932,0.000047400
933,0.000046300
934,0.000046100
935,0.000047600
936,0.000050100
937,0.000052200
938,0.000052400
939,0.000050200
940,0.000046200
941,0.000041900
942,0.000039600
943,0.000040700
944,0.000045100
945,0.000051000
946,0.000055800
947,0.000057900
948,0.000057500
949,0.000055700
950,0.000054400
951,0.000055200
952,0.000058900
953,0.000064200
954,0.000068500
955,0.000070500
956,0.000070700
957,0.000069300
958,0.000067100
959,0.000066000
960,0.000067100
961,0.000069900
962,0.000073100
963,0.000076500
964,0.000079800
965,0.000081400
966,0.000081100
967,0.000078800
968,0.000074200
969,0.000068200
970,0.000061700
971,0.000055800
972,0.000051600
973,0.000049400
974,0.000049800
975,0.000051400
976,0.000053400
977,0.000055500
978,0.000057300
979,0.000058500
980,0.000059600
981,0.000061500
982,0.000064600
983,0.000068200
984,0.000071500
985,0.000074400
986,0.000075900
987,0.000076000
988,0.000075000
989,0.000073700
990,0.000072700
991,0.000072300
992,0.000072500
993,0.000073500
994,0.000074800
995,0.000076100
996,0.000077200
997,0.000078000
998,0.000078500
999,0.000078600
1000,0.000078400
1001,0.000078100
1002,0.000077000
1003,0.000075200
1004,0.000073000
1005,0.000071100
1006,0.000069800
1007,0.000069500
1008,0.000069900
1009,0.000070700
1010,0.000071000
1011,0.000070400
1012,0.000069500
1013,0.000068700
1014,0.000068300
1015,0.000068500
1016,0.000069200
1017,0.000070300
1018,0.000071600
1019,0.000073000
1020,0.000074900
1021,0.000077000
1022,0.000079000
1023,0.000081200
1024,0.000083400
1025,0.000086000
1026,0.000089200
1027,0.000092800
1028,0.000096300
1029,0.000099100
1030,0.000100000
1031,0.000100000
1032,0.000098900
1033,0.000096400
1034,0.000092900
1035,0.000088300
1036,0.000083200
1037,0.000078200
1038,0.000073600
1039,0.000070400
1040,0.000069000
1041,0.000069100
1042,0.000069600
1043,0.000070100
1044,0.000070400
1045,0.000070600
1046,0.000071000
1047,0.000072300
1048,0.000074700
1049,0.000077600
1050,0.000080500
1051,0.000082800
1052,0.000084500
1053,0.000085200
1054,0.000085000
1055,0.000084600
1056,0.000084600
1057,0.000085300
1058,0.000087300
1059,0.000090500
1060,0.000094800
1061,0.000099000
1062,0.000102000
1063,0.000104000
1064,0.000103000
1065,0.000100000
1066,0.000096700
1067,0.000093400
1068,0.000091600
1069,0.000091500
1070,0.000092900
1071,0.000094900
1072,0.000096500
1073,0.000097200
1074,0.000096300
1075,0.000094400
1076,0.000092000
1077,0.000090100
1078,0.000089600
1079,0.000090200
1080,0.000091400
1081,0.000092300
1082,0.000091600
1083,0.000089100
1084,0.000084700
1085,0.000079400
1086,0.000074800
1087,0.000072100
1088,0.000071400
1089,0.000072700
1090,0.000074700
1091,0.000076400
1092,0.000077300
1093,0.000077600
1094,0.000077700
1095,0.000078400
1096,0.000080300
1097,0.000084000
1098,0.000088700
1099,0.000093800
1100,0.000098400
1101,0.000101000
1102,0.000101000
1103,0.000099000
1104,0.000095100
1105,0.000090800
1106,0.000086200
1107,0.000081900
1108,0.000076700
1109,0.000070500
1110,0.000065600
1111,0.000063300
1112,0.000063600
1113,0.000066000
1114,0.000067700
1115,0.000066600
1116,0.000059200
1117,0.000047900
1118,0.000037600
1119,0.000032200
1120,0.000033400
1121,0.000041500
1122,0.000053900
1123,0.000066800
1124,0.000074700
1125,0.000078500
1126,0.000078300
1127,0.000075600
1128,0.000071800
1129,0.000070000
1130,0.000071200
1131,0.000074900
1132,0.000079600
1133,0.000086100
1134,0.000091900
1135,0.000096800
1136,0.000100000
1137,0.000103000
1138,0.000104000
1139,0.000105000
1140,0.000104000
1141,0.000105000
1142,0.000107000
1143,0.000112000
1144,0.000119000
1145,0.000128000
1146,0.000136000
1147,0.000142000
1148,0.000146000
1149,0.000149000
1150,0.000152000
1151,0.000155000
1152,0.000157000
1153,0.000156000
1154,0.000153000
1155,0.000150000
1156,0.000146000
1157,0.000143000
1158,0.000142000
1159,0.000141000
1160,0.000138000
1161,0.000133000
1162,0.000125000
1163,0.000117000
1164,0.000109000
1165,0.000105000
1166,0.000105000
1167,0.000109000
1168,0.000115000
1169,0.000121000
1170,0.000126000
1171,0.000126000
1172,0.000123000
1173,0.000118000
1174,0.000114000
1175,0.000112000
1176,0.000114000
1177,0.000119000
1178,0.000124000
1179,0.000127000
1180,0.000127000
1181,0.000126000
1182,0.000124000
1183,0.000123000
1184,0.000125000
1185,0.000128000
1186,0.000132000
1187,0.000135000
1188,0.000137000
1189,0.000136000
1190,0.000135000
1191,0.000134000
1192,0.000136000
1193,0.000139000
1194,0.000146000
1195,0.000155000
1196,0.000164000
1197,0.000172000
1198,0.000176000
1199,0.000177000
1200,0.000173000
1201,0.000165000
1202,0.000155000
1203,0.000144000
1204,0.000135000
1205,0.000128000
1206,0.000124000
1207,0.000123000
1208,0.000121000
1209,0.000116000
1210,0.000108000
1211,0.000098100
1212,0.000087600
1213,0.000080600
1214,0.000077900
1215,0.000078300
1216,0.000079100
1217,0.000078400
1218,0.000075300
1219,0.000071000
1220,0.000068700
1221,0.000070300
1222,0.000075400
1223,0.000081400
1224,0.000085600
1225,0.000087700
1226,0.000087400
1227,0.000085300
1228,0.000084400
1229,0.000083200
1230,0.000080900
1231,0.000075000
1232,0.000065300
1233,0.000054700
1234,0.000044400
1235,0.000037100
1236,0.000037000
1237,0.000042900
1238,0.000054100
1239,0.000066900
1240,0.000080100
1241,0.000091600
1242,0.000099600
1243,0.000105000
1244,0.000109000
1245,0.000113000
1246,0.000117000
1247,0.000121000
1248,0.000125000
1249,0.000127000
1250,0.000129000
1251,0.000132000
1252,0.000137000
1253,0.000143000
1254,0.000150000
1255,0.000157000
1256,0.000161000
1257,0.000163000
1258,0.000164000
1259,0.000165000
1260,0.000168000
1261,0.000176000
1262,0.000188000
1263,0.000203000
1264,0.000221000
1265,0.000238000
1266,0.000253000
1267,0.000266000
1268,0.000274000
1269,0.000277000
1270,0.000275000
1271,0.000268000
1272,0.000256000
1273,0.000238000
1274,0.000216000
1275,0.000190000
1276,0.000162000
1277,0.000135000
1278,0.000113000
1279,0.000097100
1280,0.000089200
1281,0.000088700
1282,0.000094300
1283,0.000104000
1284,0.000116000
1285,0.000128000
1286,0.000140000
1287,0.000149000
1288,0.000156000
1289,0.000161000
1290,0.000163000
1291,0.000163000
1292,0.000163000
1293,0.000163000
1294,0.000163000
1295,0.000163000
1296,0.000162000
1297,0.000159000
1298,0.000155000
1299,0.000149000
1300,0.000144000
1301,0.000140000
1302,0.000139000
1303,0.000140000
1304,0.000142000
1305,0.000144000
1306,0.000144000
1307,0.000143000
1308,0.000140000
1309,0.000137000
1310,0.000135000
1311,0.000132000
1312,0.000129000
1313,0.000126000
1314,0.000123000
1315,0.000121000
1316,0.000119000
1317,0.000119000
1318,0.000118000
1319,0.000116000
1320,0.000114000
1321,0.000112000
1322,0.000110000
1323,0.000111000
1324,0.000113000
1325,0.000116000
1326,0.000117000
1327,0.000117000
1328,0.000115000
1329,0.000114000
1330,0.000112000
1331,0.000113000
1332,0.000113000
1333,0.000113000
1334,0.000110000
1335,0.000104000
1336,0.000097500
1337,0.000090800
1338,0.000086100
1339,0.000085200
1340,0.000087800
1341,0.000092200
1342,0.000096800
1343,0.000101000
1344,0.000103000
1345,0.000103000
1346,0.000101000
1347,0.000098400
1348,0.000096400
1349,0.000094900
1350,0.000094200
1351,0.000094100
1352,0.000093400
1353,0.000090600
1354,0.000085000
1355,0.000077600
1356,0.000070400
1357,0.000064600
1358,0.000061800
1359,0.000063200
1360,0.000067600
1361,0.000073800
1362,0.000079600
1363,0.000084600
1364,0.000088500
1365,0.000090700
1366,0.000092700
1367,0.000094800
1368,0.000096300
1369,0.000097400
1370,0.000097800
1371,0.000098700
1372,0.000101000
1373,0.000105000
1374,0.000112000
1375,0.000120000
1376,0.000126000
1377,0.000131000
1378,0.000132000
1379,0.000130000
1380,0.000126000
1381,0.000122000
1382,0.000119000
1383,0.000116000
1384,0.000113000
1385,0.000111000
1386,0.000108000
1387,0.000105000
1388,0.000103000
1389,0.000101000
1390,0.000102000
1391,0.000104000
1392,0.000107000
1393,0.000110000
1394,0.000111000
1395,0.000110000
1396,0.000106000
1397,0.000102000
1398,0.000097900
1399,0.000094900
1400,0.000094300
1401,0.000095700
1402,0.000098200
1403,0.000100000
1404,0.000102000
1405,0.000102000
1406,0.000101000
1407,0.000098500
1408,0.000096700
1409,0.000095400
1410,0.000093900
1411,0.000092000
1412,0.000090400
1413,0.000089100
1414,0.000088300
1415,0.000088200
1416,0.000089600
1417,0.000092600
1418,0.000095400
1419,0.000098100
1420,0.000101000
1421,0.000102000
1422,0.000102000
1423,0.000102000
1424,0.000102000
1425,0.000104000
1426,0.000108000
1427,0.000114000
1428,0.000119000
1429,0.000122000
1430,0.000122000
1431,0.000119000
1432,0.000116000
1433,0.000114000
1434,0.000115000
1435,0.000117000
1436,0.000122000
1437,0.000129000
1438,0.000137000
1439,0.000145000
1440,0.000153000
1441,0.000162000
1442,0.000171000
1443,0.000178000
1444,0.000185000
1445,0.000192000
1446,0.000197000
1447,0.000203000
1448,0.000211000
1449,0.000224000
1450,0.000245000
1451,0.000273000
1452,0.000304000
1453,0.000330000
1454,0.000343000
1455,0.000338000
1456,0.000314000
1457,0.000279000
1458,0.000241000
1459,0.000210000
1460,0.000191000
1461,0.000183000
1462,0.000183000
1463,0.000183000
1464,0.000181000
1465,0.000176000
1466,0.000171000
1467,0.000168000
1468,0.000167000
1469,0.000168000
1470,0.000167000
1471,0.000164000
1472,0.000158000
1473,0.000150000
1474,0.000142000
1475,0.000136000
1476,0.000134000
1477,0.000133000
1478,0.000134000
1479,0.000134000
1480,0.000135000
1481,0.000135000
1482,0.000136000
1483,0.000139000
1484,0.000143000
1485,0.000146000
1486,0.000147000
1487,0.000145000
1488,0.000143000
1489,0.000144000
1490,0.000150000
1491,0.000166000
1492,0.000189000
1493,0.000216000
1494,0.000238000
1495,0.000247000
1496,0.000240000
1497,0.000218000
1498,0.000184000
1499,0.000149000
1500,0.000119000
1501,0.000099600
1502,0.000090100
1503,0.000088700
1504,0.000091400
1505,0.000094300
1506,0.000094700
1507,0.000092600
1508,0.000089400
1509,0.000086200
1510,0.000084600
1511,0.000085000
1512,0.000086700
1513,0.000088300
1514,0.000088800
1515,0.000088900
1516,0.000089000
1517,0.000089300
1518,0.000090000
1519,0.000090700
1520,0.000089600
1521,0.000086100
1522,0.000080400
1523,0.000073700
1524,0.000066600
1525,0.000059900
1526,0.000055000
1527,0.000052700
1528,0.000052700
1529,0.000054400
1530,0.000057000
1531,0.000059300
1532,0.000059800
1533,0.000058900
1534,0.000058300
1535,0.000059700
1536,0.000063500
1537,0.000069400
1538,0.000075500
1539,0.000080000
1540,0.000081900
1541,0.000081300
1542,0.000080400
1543,0.000080700
1544,0.000082800
1545,0.000087000
1546,0.000092300
1547,0.000098100
1548,0.000103000
1549,0.000107000
1550,0.000110000
1551,0.000111000
1552,0.000111000
1553,0.000110000
1554,0.000109000
1555,0.000107000
1556,0.000104000
1557,0.000100000
1558,0.000095400
1559,0.000090400
1560,0.000087400
1561,0.000087700
1562,0.000092000
1563,0.000098300
1564,0.000104000
1565,0.000108000
1566,0.000107000
1567,0.000103000
1568,0.000095400
1569,0.000087500
1570,0.000081500
1571,0.000078200
1572,0.000078500
1573,0.000082100
1574,0.000087500
1575,0.000091200
1576,0.000091500
1577,0.000088800
1578,0.000085000
1579,0.000082600
1580,0.000084800
1581,0.000092500
1582,0.000104000
1583,0.000114000
1584,0.000119000
1585,0.000118000
1586,0.000113000
1587,0.000107000
1588,0.000102000
1589,0.000101000
1590,0.000102000
1591,0.000103000
1592,0.000103000
1593,0.000101000
1594,0.000099000
1595,0.000097900
1596,0.000098800
1597,0.000101000
1598,0.000104000
1599,0.000106000
1600,0.000107000
1601,0.000106000
1602,0.000105000
1603,0.000106000
1604,0.000108000
1605,0.000111000
1606,0.000112000
1607,0.000111000
1608,0.000104000
1609,0.000092300
1610,0.000077400
1611,0.000063100
1612,0.000053100
1613,0.000048400
1614,0.000049200
1615,0.000054200
1616,0.000061400
1617,0.000069300
1618,0.000075300
1619,0.000079900
1620,0.000082400
1621,0.000081700
1622,0.000078000
1623,0.000072800
1624,0.000067600
1625,0.000064300
1626,0.000062000
1627,0.000062300
1628,0.000064600
1629,0.000068000
1630,0.000072900
1631,0.000080400
1632,0.000091100
1633,0.000104000
1634,0.000117000
1635,0.000128000
1636,0.000137000
1637,0.000141000
1638,0.000143000
1639,0.000145000
1640,0.000149000
1641,0.000154000
1642,0.000159000
1643,0.000163000
1644,0.000165000
1645,0.000164000
1646,0.000162000
1647,0.000161000
1648,0.000164000
1649,0.000169000
1650,0.000175000
1651,0.000178000
1652,0.000176000
1653,0.000169000
1654,0.000159000
1655,0.000153000
1656,0.000154000
1657,0.000163000
1658,0.000177000
1659,0.000191000
1660,0.000199000
1661,0.000201000
1662,0.000199000
1663,0.000197000
1664,0.000199000
1665,0.000206000
1666,0.000216000
1667,0.000225000
1668,0.000230000
1669,0.000232000
1670,0.000233000
1671,0.000235000
1672,0.000240000
1673,0.000246000
1674,0.000250000
1675,0.000252000
1676,0.000251000
1677,0.000252000
1678,0.000258000
1679,0.000268000
1680,0.000282000
1681,0.000291000
1682,0.000291000
1683,0.000282000
1684,0.000268000
1685,0.000257000
1686,0.000256000
1687,0.000266000
1688,0.000287000
1689,0.000313000
1690,0.000337000
1691,0.000355000
1692,0.000365000
1693,0.000368000
1694,0.000366000
1695,0.000361000
1696,0.000358000
1697,0.000359000
1698,0.000364000
1699,0.000375000
1700,0.000389000
1701,0.000407000
1702,0.000426000
1703,0.000445000
1704,0.000464000
1705,0.000482000
1706,0.000499000
1707,0.000511000
1708,0.000521000
1709,0.000531000
1710,0.000542000
1711,0.000554000
1712,0.000569000
1713,0.000584000
1714,0.000597000
1715,0.000607000
1716,0.000610000
1717,0.000608000
1718,0.000603000
1719,0.000595000
1720,0.000585000
1721,0.000574000
1722,0.000564000
1723,0.000555000
1724,0.000546000
1725,0.000540000
1726,0.000537000
1727,0.000540000
1728,0.000548000
1729,0.000561000
1730,0.000578000
1731,0.000597000
1732,0.000615000
1733,0.000630000
1734,0.000641000
1735,0.000648000
1736,0.000650000
1737,0.000646000
1738,0.000638000
1739,0.000628000
1740,0.000615000
1741,0.000603000
1742,0.000592000
1743,0.000584000
1744,0.000577000
1745,0.000573000
1746,0.000570000
1747,0.000567000
1748,0.000563000
1749,0.000556000
1750,0.000542000
1751,0.000524000
1752,0.000504000
1753,0.000484000
1754,0.000468000
1755,0.000457000
1756,0.000449000
1757,0.000443000
1758,0.000437000
1759,0.000428000
1760,0.000418000
1761,0.000405000
1762,0.000391000
1763,0.000379000
1764,0.000372000
1765,0.000371000
1766,0.000374000
1767,0.000379000
1768,0.000381000
1769,0.000374000
1770,0.000360000
1771,0.000341000
1772,0.000324000
1773,0.000313000
1774,0.000312000
1775,0.000319000
1776,0.000328000
1777,0.000333000
1778,0.000329000
1779,0.000319000
1780,0.000307000
1781,0.000298000
1782,0.000295000
1783,0.000296000
1784,0.000300000
1785,0.000302000
1786,0.000301000
1787,0.000296000
1788,0.000291000
1789,0.000288000
1790,0.000287000
1791,0.000287000
1792,0.000287000
1793,0.000286000
1794,0.000286000
1795,0.000286000
1796,0.000289000
1797,0.000295000
1798,0.000302000
1799,0.000305000
1800,0.000303000
1801,0.000294000
1802,0.000276000
1803,0.000253000
1804,0.000226000
1805,0.000201000
1806,0.000179000
1807,0.000162000
1808,0.000150000
1809,0.000142000
1810,0.000137000
1811,0.000136000
1812,0.000139000
1813,0.000145000
1814,0.000155000
1815,0.000168000
1816,0.000181000
1817,0.000194000
1818,0.000206000
1819,0.000217000
1820,0.000226000
1821,0.000232000
1822,0.000232000
1823,0.000227000
1824,0.000216000
1825,0.000201000
1826,0.000186000
1827,0.000171000
1828,0.000158000
1829,0.000147000
1830,0.000138000
1831,0.000130000
1832,0.000123000
1833,0.000119000
1834,0.000118000
1835,0.000120000
1836,0.000123000
1837,0.000126000
1838,0.000128000
1839,0.000131000
1840,0.000134000
1841,0.000137000
1842,0.000140000
1843,0.000141000
1844,0.000141000
1845,0.000140000
1846,0.000137000
1847,0.000135000
1848,0.000135000
1849,0.000136000
1850,0.000139000